"Age","Etablissement","Classe","Domicile","Temps_Maths.mn.","Auto_eval_Maths","Temps_Sciences.mn.","Temps_Francais.mn.","Moyenne_Maths","Travail_Parents","Cours_Particuliers","Difficultes_6e","Changements_Parcours","Projets_BAC","Difficultes_Langue","Langue_Maternelle","Ne_Mayotte","Acces_Internet"
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,5,60,60,5,0,1,1,0,"ecole_spécialisée",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",300,8,120,360,8,1,0,0,1,"ecole_spécialisée",0,"malgache",0,0
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,NA,180,60,6,1,0,0,0,"université",0,"shimaoré",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,5,60,30,5,1,0,0,0,"université",0,"shimaoré",1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,3,180,120,5,1,0,0,1,"ecole_spécialisée",0,"shimaoré",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",180,NA,360,300,9,0,0,0,0,"université",0,"shimaoré",1,0
15,"Collège de Ouangani","Quatrième","Commune de Ouangani",960,NA,960,15,7,0,0,0,0,"université",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,NA,60,60,6,0,1,1,1,"ecole_spécialisée",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",30,NA,30,30,9,1,0,0,0,"université",0,"shimaoré",1,1
12,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,2,240,180,2,1,0,1,1,"université",0,"shimaoré",1,0
22,"Lycée des Lumières","Première MCV","Commune de Koungou",120,6,120,120,8,0,0,1,0,"université",1,"shimaoré",1,1
16,"Lycée de Dembéni","Terminale","Commune de Mamoudzou",0,5,0,0,5,1,0,0,1,"université",0,"français",1,1
17,"Lycée de Dembéni","Terminale","Commune de M'Tsangamouji",0,5,60,0,4,1,0,0,1,"ecole_spécialisée",0,"kibushi",1,1
17,"Lycée Younoussa Bamana","Terminale","Commune de Mamoudzou",0,5,60,120,5,1,0,1,1,"bts",0,"shimaoré",1,1
17,"Lycée de Dembéni","Première","Commune de Mamoudzou",60,7,0,480,7,1,0,1,1,"université",0,"shimaoré",0,1
18,"Lycée de Dembéni","Terminale","Commune de Dembeni",0,6,0,60,6,1,0,1,1,"université",0,"français",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,7,0,0,7,1,0,0,0,"réflexion",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,9,0,0,9,1,0,0,0,"université",0,"shimaoré",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,4,0,0,4,1,0,1,0,"université",0,NA,1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,8,120,60,5,1,0,1,0,"université",0,"shimaoré",1,0
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,5,120,0,5,1,0,1,1,"université",0,"shimaoré",1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",240,9,120,60,9,1,0,0,0,"université",0,"shimaoré",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,1,0,60,5,1,0,1,1,"ecole_spécialisée",0,"shimaoré",1,1
16,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,3,180,240,3,0,0,1,0,"réflexion",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,3,0,0,3,0,0,0,0,"ecole_spécialisée",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",180,10,180,60,5,0,0,1,0,"université",0,NA,0,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,5,60,120,3,0,0,1,1,"ecole_spécialisée",0,"kibushi",1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",180,5,60,240,4,0,1,1,1,"université",0,"shimaoré",1,0
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,5,600,300,8,1,0,0,0,"université",0,"shimaoré",1,1
