Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,120,0.0,8.0,1.0,0,0,,0,,0,Shimaoré,0,0,Multiplications,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120,7,120,60.0,6.0,0.0,0,1,,0,,0,Shimaoré,1,1,Fractions ,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60,,240,600.0,1.0,1.0,0,1,,0,Université,1,Shimaoré,0,1,Fractions,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60,9,60,60.0,,,0,1,,0,,1,kibushi,1,1,Fractions,
15.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,7,60,600.0,8.0,1.0,1,0,,0,Ecole spécialisée,0,Shimaoré,1,1,Fractions,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,4,240,120.0,4.0,1.0,1,0,,0,,0,Shimaoré,1,0,,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60,7,60,60.0,4.0,1.0,0,0,,0,,1,Shimaoré,1,1,Multiplications,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,180,120.0,7.0,1.0,1,1, ,0,Ecole spécialisée,0,Shimaoré,1,1,Multiplications-Additions ,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60,10,120,60.0,5.0,1.0,0,0,,0,,0,francais  et mayotte,0,1,Calcul littéral,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,240,9,60,120.0,9.0,1.0,1,0,,0,,1,Shimaoré,1,0,Additions,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,2,0,0.0,1.0,1.0,0,1, ,1,Ecole spécialisée,1,Shimaoré,1,0,Fractions,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,900,9,180,0.0,5.0,0.0,0,0,,0,,0,Shimaoré,1,1,Additions,
