Age,Etablissement,Classe,Commune de  domicile,Temps_Maths(mn),Auto_eval_Maths,Temps_Sciences(mn),Temps_Francais(mn),Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet
15.0,Lycée des Lumières,Seconde,Commune de Koungou,60.0,,60.0,0.0,5.0,0.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,0.0
15.0,Lycée des Lumières,Seconde,Commune de Koungou,0.0,,30.0,0.0,6.0,1.0,0.0,1.0,0.0,Ecole spécialisée,1.0,russe,0.0,1.0
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,180.0,,120.0,60.0,5.0,1.0,0.0,1.0,0.0,Université,0.0,Shimaoré,1.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,120.0,,300.0,180.0,5.0,0.0,0.0,1.0,0.0,,0.0,Shimaoré,1.0,1.0
16.0,Lycée de Mamoudzou Nord,Terminale,Commune de Mamoudzou,0.0,,180.0,180.0,5.0,0.0,0.0,0.0,0.0,BTS,0.0,Shimaoré,0.0,0.0
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,60.0,,180.0,120.0,5.0,0.0,0.0,0.0,1.0,,0.0,Shimaoré,0.0,0.0
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,120.0,,720.0,360.0,8.0,0.0,0.0,1.0,1.0,Université,0.0,Shindzouani,0.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Koungou,120.0,,120.0,180.0,9.0,1.0,0.0,1.0,,Ecole spécialisée ,0.0,Shimaoré,0.0,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,120.0,,240.0,60.0,5.0,1.0,0.0,1.0,,Université,0.0,Shimaoré,1.0,1.0
18.0,Lycée des Lumières,Terminale STMG,Commune de Koungou,180.0,,540.0,240.0,6.0,0.0,0.0,0.0,0.0,BTS,0.0,Shimaoré,1.0,0.0
17.0,Lycée des Lumières,1mcv1,Commune de Pamandzi,240.0,,120.0,60.0,8.0,,0.0,0.0,1.0,BTS,0.0,Shimaoré,0.0,0.0
17.0,Lycée des Lumières,Première STMG,Commune de Koungou,20.0,,60.0,,6.0,1.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Koungou,0.0,,120.0,0.0,4.0,1.0,0.0,0.0,0.0,Université ,0.0,Shimaoré,1.0,1.0
16.0,Lycée de Mamoudzou Nord,Première,Commune de Mamoudzou,60.0,,35.0,60.0,4.0,0.0,0.0,1.0,0.0,Université,0.0,Shimaoré,1.0,0.0
19.0,Lycée des Lumières,BTS,Commune de Dembeni,240.0,,120.0,180.0,4.0,0.0,0.0,1.0,0.0,,1.0,Shimaoré,1.0,0.0
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,300.0,,300.0,300.0,5.0,1.0,0.0,1.0,1.0,Université,0.0,Shimaoré,0.0,1.0
14.0,Lycée des Lumières,Seconde,Commune de Koungou,0.0,,0.0,0.0,4.0,1.0,0.0,0.0,,Université,0.0,Shimaoré,1.0,0.0
17.0,Lycée des Lumières,Terminale STMG,Commune de Mamoudzou,60.0,,180.0,120.0,5.0,,0.0,0.0,1.0,Université,0.0,Shimaoré,1.0,1.0
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,420.0,,0.0,0.0,5.0,1.0,0.0,0.0,0.0,Ecole spécialisée ,1.0,francais/ maore,1.0,1.0
14.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60.0,,120.0,120.0,5.0,1.0,1.0,0.0,1.0,Université  ,0.0,malgache et  shimaore,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,240.0,,120.0,240.0,5.0,1.0,1.0,0.0,0.0,Réflexion,0.0,Shimaoré,1.0,1.0
17.0,Lycée des Lumières,Première,Commune de Mamoudzou,60.0,,30.0,180.0,5.5,1.0,0.0,0.0,1.0,Université,0.0,shimaorais et kibushi,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,120.0,,120.0,180.0,1.0,1.0,0.0,0.0,0.0,Réflexion,0.0,Shimaoré,0.0,0.0
15.0,Lycée des Lumières,Seconde,majicavo / tsingoni,120.0,,180.0,120.0,10.0,1.0,0.0,1.0,0.0,,0.0,kibushi,1.0,0.0
